id,battery_power,m_dep,mobile_wt,px_height,px_width,ram,sc_h,sc_w,talk_time,bluetooth,gen,cores,speed,sim,f_camera,camera,memory,screen,wifi,price,cores_ord,speed_ord,wifi_ord,sim_ord,bluetooth_bin,screen_bin
515,1832,0.6,90,186,654,2978,18,7,18,No,2,hepta,low,Single,2.0,6.0,2657,LCD,none,725,7,1,1,2,0,0
516,1039,0.8,200,1428,1827,1619,7,1,10,No,4,octa,medium,Single,0.0,0.0,12650,Touch,n,1142,8,2,2,2,0,1
517,1059,0.1,134,1613,1916,3716,15,13,11,No,3,triple,high,Single,8.0,18.0,61605,Touch,none,1295,3,3,1,2,0,1
518,1606,0.1,154,1127,1924,3454,13,8,20,No,2,quad,medium,Single,3.0,4.0,57326,LCD,b,1081,4,2,4,2,0,0
519,1928,1.0,187,691,1580,3777,7,2,13,Yes,4,triple,medium,Single,9.0,20.0,19163,Touch,a,1428,3,2,5,2,1,1
520,1875,0.7,91,1802,1942,2712,7,2,6,Yes,4,single,low,Dual,11.0,17.0,55085,LCD,g,1416,1,1,3,1,1,0
521,1128,0.9,135,751,1582,1434,5,0,11,Yes,4,octa,medium,Single,9.0,10.0,46297,LCD,none,951,8,2,1,2,1,0
522,1748,0.5,146,859,1234,3968,16,12,3,No,4,triple,medium,Dual,6.0,7.0,14405,LCD,b,979,3,2,4,1,0,0
523,1413,0.3,117,187,517,3383,16,5,2,No,2,penta,low,Dual,5.0,11.0,51131,LCD,none,689,5,1,1,1,0,0
524,825,0.1,86,206,1917,3278,8,6,2,No,4,dual,low,Dual,0.0,0.0,23620,LCD,a,839,2,1,5,1,0,0
525,1589,0.1,100,1673,1759,3970,16,8,18,Yes,4,octa,medium,Single,3.0,16.0,26808,LCD,b,1190,8,2,4,2,1,0
526,535,0.5,145,710,939,2674,14,8,10,Yes,4,octa,low,Dual,8.0,15.0,53862,LCD,none,869,8,1,1,1,1,0
527,1780,0.1,190,1331,1463,2776,19,17,14,Yes,3,quad,low,Single,6.0,11.0,27207,Touch,g,1030,4,1,3,2,1,1
528,1671,0.1,129,263,848,2336,10,4,7,No,4,dual,low,Dual,7.0,11.0,61523,LCD,none,1026,2,1,1,1,0,0
529,1821,0.3,114,97,1803,2430,7,4,6,No,4,single,low,Single,9.0,18.0,12457,Touch,n,976,1,1,2,2,0,1
530,1076,0.7,119,129,915,891,18,3,9,Yes,4,hexa,high,Single,3.0,8.0,38342,Touch,none,780,6,3,1,2,1,1
531,532,0.1,193,1213,1354,728,13,5,8,Yes,3,penta,low,Dual,3.0,10.0,8761,Touch,none,498,5,1,1,1,1,1
532,777,0.9,148,189,1143,3886,14,10,7,Yes,3,penta,high,Single,3.0,17.0,30725,LCD,none,1441,5,3,1,2,1,0
533,1217,0.5,182,628,632,1711,7,3,9,Yes,3,quad,low,Single,3.0,13.0,17641,LCD,a,598,4,1,5,2,1,0
534,1656,1.0,117,320,899,2856,14,3,20,Yes,3,hepta,medium,Dual,0.0,2.0,16559,Touch,g,1023,7,2,3,1,1,1
535,1185,0.4,152,837,1642,2447,16,2,3,No,3,octa,medium,Single,0.0,7.0,31930,Touch,n,875,8,2,2,2,0,1
536,577,0.9,161,1087,1450,814,11,7,19,No,4,hexa,high,Single,8.0,20.0,37932,Touch,g,767,6,3,3,2,0,1
537,737,0.6,193,781,1463,2951,7,0,10,Yes,2,quad,high,Dual,7.0,16.0,49862,Touch,none,538,4,3,1,1,1,1
538,704,0.2,186,251,1013,3653,7,1,15,No,3,hexa,medium,Dual,4.0,6.0,53108,Touch,n,721,6,2,2,1,0,1
539,525,0.5,137,262,1587,1891,18,3,12,Yes,2,octa,low,Dual,5.0,11.0,51618,Touch,none,455,8,1,1,1,1,1
540,504,0.1,166,767,1665,701,17,15,15,Yes,3,single,low,Dual,5.0,9.0,16804,LCD,b,532,1,1,4,1,1,0
541,793,0.6,176,1226,1815,3139,6,1,12,No,4,quad,medium,Dual,1.0,7.0,38213,Touch,a,994,4,2,5,1,0,1
542,569,0.1,184,389,739,2811,7,6,7,No,3,octa,low,Dual,2.0,9.0,39544,LCD,a,821,8,1,5,1,0,0
543,1590,1.0,160,920,963,1701,11,4,4,No,4,penta,medium,Dual,3.0,18.0,21485,LCD,g,929,5,2,3,1,0,0
544,707,0.1,194,1027,1508,1853,17,14,12,No,4,dual,low,Single,0.0,0.0,16271,Touch,b,699,2,1,4,2,0,1
545,767,0.2,185,271,1000,2445,6,1,6,No,4,hexa,medium,Single,16.0,17.0,19563,Touch,n,814,6,2,2,2,0,1
546,1350,0.8,181,369,544,2287,15,1,8,Yes,4,octa,low,Dual,0.0,4.0,50385,Touch,none,940,8,1,1,1,1,1
547,1117,0.2,146,1258,1627,2003,8,7,14,Yes,2,dual,low,Dual,0.0,7.0,31768,Touch,b,585,2,1,4,1,1,1
548,641,0.9,192,417,759,3595,7,5,19,Yes,4,single,medium,Single,0.0,3.0,7093,Touch,a,876,1,2,5,2,1,1
549,1002,0.5,83,1345,1416,1726,16,5,19,No,4,dual,low,Dual,0.0,4.0,35506,LCD,a,927,2,1,5,1,0,0
550,1408,0.9,89,613,1088,3952,8,6,3,Yes,2,penta,medium,Dual,10.0,14.0,46095,LCD,g,1201,5,2,3,1,1,0
551,1900,0.5,190,912,1596,850,5,1,4,Yes,3,octa,medium,Dual,1.0,6.0,41524,Touch,n,911,8,2,2,1,1,1
552,726,0.1,101,666,760,1446,17,2,8,No,3,octa,high,Single,0.0,0.0,43348,Touch,none,717,8,3,1,2,0,1
553,1544,0.1,113,236,857,1300,8,7,18,No,4,octa,high,Single,12.0,20.0,45280,Touch,none,968,8,3,1,2,0,1
554,1454,0.2,160,186,1100,719,14,10,10,Yes,4,quad,medium,Single,6.0,10.0,21678,Touch,a,760,4,2,5,2,1,1
555,1230,0.8,123,416,676,988,11,5,9,Yes,2,penta,medium,Dual,6.0,7.0,26649,Touch,b,610,5,2,4,1,1,1
556,1552,0.3,180,430,658,2606,13,6,12,No,4,octa,medium,Single,10.0,18.0,53433,LCD,none,937,8,2,1,2,0,0
557,1519,0.7,200,168,1239,2912,11,10,15,No,3,single,medium,Single,0.0,10.0,32699,Touch,none,1122,1,2,1,2,0,1
558,723,0.3,102,1467,1901,2339,19,9,17,Yes,2,single,medium,Single,4.0,7.0,30740,Touch,a,665,1,2,5,2,1,1
559,1191,0.9,169,179,1813,1028,14,6,8,No,3,single,high,Dual,2.0,7.0,13756,Touch,b,599,1,3,4,1,0,1
560,1168,0.1,90,159,1578,3173,9,4,17,No,2,octa,medium,Single,9.0,10.0,61952,LCD,g,947,8,2,3,2,0,0
561,1229,0.8,191,120,1878,1667,17,6,17,No,2,dual,low,Dual,15.0,16.0,14108,LCD,b,749,2,1,4,1,0,0
562,1758,0.6,190,762,1864,1897,6,2,15,Yes,4,octa,low,Single,11.0,14.0,13648,LCD,none,1132,8,1,1,2,1,0
563,1290,0.1,143,600,1109,1214,9,8,15,No,2,hexa,low,Single,0.0,4.0,3481,Touch,a,535,6,1,5,2,0,1
564,574,0.1,90,286,1171,3269,8,7,10,No,2,hexa,high,Dual,16.0,17.0,38512,Touch,none,409,6,3,1,1,0,1
565,1271,0.1,113,1350,1949,445,15,14,14,Yes,2,hepta,low,Single,12.0,15.0,32709,LCD,b,652,7,1,4,2,1,0
566,1170,0.4,83,27,1722,1073,6,4,8,Yes,3,octa,medium,Single,4.0,15.0,30423,Touch,none,791,8,2,1,2,1,1
567,1269,0.8,118,1597,1920,665,18,5,5,Yes,2,dual,medium,Single,14.0,15.0,51987,LCD,none,793,2,2,1,2,1,0
568,1288,0.1,121,1177,1809,3129,17,6,2,No,2,dual,high,Dual,15.0,20.0,50363,LCD,none,663,2,3,1,1,0,0
569,1366,0.1,150,402,964,3501,13,11,3,Yes,4,dual,low,Dual,0.0,9.0,34946,LCD,none,1319,2,1,1,1,1,0
570,1572,0.8,169,577,1237,3461,6,3,10,Yes,4,penta,low,Dual,7.0,8.0,8599,Touch,n,1097,5,1,2,1,1,1
571,1627,0.1,180,52,1082,3206,12,6,16,No,4,hexa,low,Dual,9.0,16.0,32478,Touch,none,1344,6,1,1,1,0,1
572,1701,0.9,115,364,828,3717,11,0,10,Yes,4,dual,low,Single,13.0,15.0,46508,Touch,none,1357,2,1,1,2,1,1
573,1900,0.9,171,934,1241,3917,15,5,18,Yes,4,single,low,Dual,0.0,1.0,55830,LCD,b,1474,1,1,4,1,1,0
574,1974,0.3,80,250,545,861,7,4,6,No,3,hepta,medium,Single,4.0,13.0,24241,LCD,b,549,7,2,4,2,0,0
575,1197,0.1,129,214,1710,2885,19,7,14,Yes,3,penta,low,Dual,9.0,10.0,20622,Touch,g,833,5,1,3,1,1,1
576,587,0.7,170,612,1793,2777,9,2,14,Yes,3,single,high,Dual,4.0,16.0,6452,Touch,none,765,1,3,1,1,1,1
577,934,0.8,112,1111,1463,1017,12,7,9,No,2,penta,medium,Single,7.0,12.0,24813,LCD,b,654,5,2,4,2,0,0
578,1195,0.1,82,163,1100,980,13,9,17,No,4,quad,medium,Dual,1.0,9.0,23329,LCD,none,777,4,2,1,1,0,0
579,1853,0.4,92,202,1951,2775,14,4,17,Yes,3,single,medium,Single,2.0,15.0,23446,LCD,none,1196,1,2,1,2,1,0
580,1164,0.9,95,729,1704,3309,15,3,3,No,4,octa,medium,Single,4.0,18.0,19606,LCD,a,874,8,2,5,2,0,0
581,1512,0.1,88,1079,1897,3607,12,10,6,Yes,4,triple,low,Single,8.0,17.0,18584,Touch,n,1074,3,1,2,2,1,1
582,1232,0.3,169,361,809,1257,16,10,16,No,4,penta,high,Dual,1.0,17.0,24258,LCD,none,907,5,3,1,1,0,0
583,1813,0.2,198,338,1306,759,9,3,14,Yes,4,triple,low,Dual,0.0,8.0,5506,Touch,none,784,3,1,1,1,1,1
584,946,0.1,166,1698,1771,3720,15,7,4,Yes,2,triple,high,Dual,17.0,20.0,5140,Touch,none,720,3,3,1,1,1,1
585,739,0.1,88,1052,1536,475,7,6,6,Yes,4,triple,high,Dual,2.0,4.0,58115,LCD,a,639,3,3,5,1,1,0
586,704,0.2,80,1108,1509,1122,9,3,10,Yes,4,single,high,Single,8.0,10.0,29232,Touch,b,806,1,3,4,2,1,1
587,1663,0.6,147,951,1545,1336,8,5,15,Yes,3,quad,low,Single,0.0,15.0,40520,LCD,none,840,4,1,1,2,1,0
588,1966,0.9,185,1197,1987,1185,11,2,20,Yes,2,octa,medium,Dual,2.0,18.0,40465,Touch,none,808,8,2,1,1,1,1
589,1219,0.7,196,473,1022,705,11,3,6,No,2,penta,medium,Dual,0.0,4.0,17637,Touch,b,406,5,2,4,1,0,1
590,612,0.6,181,1294,1337,3169,14,9,6,Yes,2,penta,low,Single,6.0,12.0,35931,LCD,none,916,5,1,1,2,1,0
591,1658,0.7,182,410,522,3483,10,1,15,Yes,4,single,medium,Single,0.0,5.0,39532,LCD,a,984,1,2,5,2,1,0
592,1263,0.3,175,178,1883,1183,14,3,17,No,2,penta,low,Single,12.0,18.0,64766,LCD,b,639,5,1,4,2,0,0
593,1395,0.6,118,782,1787,3373,11,2,16,Yes,4,triple,high,Single,0.0,1.0,55414,Touch,none,1382,3,3,1,2,1,1
594,621,0.1,151,434,910,2801,6,1,5,Yes,3,quad,high,Dual,0.0,20.0,54504,Touch,a,677,4,3,5,1,1,1
595,652,0.6,142,464,781,565,18,12,9,No,2,triple,low,Dual,1.0,2.0,58300,LCD,a,440,3,1,5,1,0,0
596,1175,0.1,145,137,1501,3153,9,4,12,No,3,dual,low,Single,10.0,12.0,25543,LCD,none,811,2,1,1,2,0,0
597,561,0.1,163,492,1176,3421,16,2,5,Yes,3,octa,medium,Single,0.0,10.0,11496,Touch,a,790,8,2,5,2,1,1
598,1137,0.9,173,1250,1285,316,15,14,17,No,4,penta,medium,Single,6.0,7.0,3781,LCD,none,934,5,2,1,2,0,0
599,1835,0.1,193,385,583,448,18,17,14,Yes,4,hepta,high,Single,4.0,13.0,11223,LCD,none,629,7,3,1,2,1,0
600,1170,0.4,169,427,684,2366,16,8,2,No,3,hexa,high,Dual,2.0,5.0,39959,Touch,a,826,6,3,5,1,0,1
601,1595,0.7,85,1024,1838,3881,14,10,9,Yes,4,quad,low,Dual,0.0,20.0,44475,LCD,b,1411,4,1,4,1,1,0
602,1719,0.3,122,240,904,462,6,3,5,Yes,2,octa,medium,Single,0.0,7.0,13045,LCD,none,388,8,2,1,2,1,0
603,1770,0.8,128,886,1552,1480,6,1,17,No,3,hepta,high,Dual,0.0,6.0,7327,LCD,none,869,7,3,1,1,0,0
604,1312,0.8,163,1233,1854,1087,17,16,14,No,4,dual,low,Dual,0.0,0.0,28451,LCD,none,1046,2,1,1,1,0,0
605,1878,0.3,139,183,559,2711,8,2,3,No,4,penta,medium,Dual,5.0,13.0,57050,Touch,g,1355,5,2,3,1,0,1
606,1871,0.1,81,88,1682,2144,13,12,12,Yes,4,hepta,medium,Single,7.0,14.0,20895,Touch,b,686,7,2,4,2,1,1
607,922,0.9,188,1016,1383,1165,19,6,4,No,4,hepta,medium,Dual,1.0,15.0,35550,Touch,b,929,7,2,4,1,0,1
608,1975,0.9,128,80,655,2998,5,4,13,Yes,4,octa,medium,Single,6.0,11.0,15934,Touch,none,1339,8,2,1,2,1,1
609,1212,0.3,102,611,1715,2249,14,3,4,No,4,quad,high,Single,1.0,8.0,46344,Touch,b,904,4,3,4,2,0,1
610,1430,0.1,179,569,906,752,17,8,17,Yes,2,triple,low,Single,3.0,5.0,56303,LCD,b,578,3,1,4,2,1,0
611,1958,0.2,190,304,637,1409,16,5,3,Yes,2,dual,medium,Dual,0.0,3.0,4193,LCD,none,799,2,2,1,1,1,0
612,1836,0.2,184,276,1230,3072,7,3,5,Yes,4,hepta,medium,Dual,0.0,15.0,30321,Touch,none,906,7,2,1,1,1,1
613,557,0.5,125,1131,1315,1305,12,8,3,Yes,3,triple,medium,Single,0.0,0.0,24557,LCD,b,654,3,2,4,2,1,0
614,539,0.1,145,551,599,3597,14,5,9,Yes,2,hepta,low,Dual,9.0,14.0,21394,LCD,none,440,7,1,1,1,1,0
615,880,0.5,172,436,1302,3132,8,7,6,No,2,octa,low,Dual,1.0,15.0,44619,Touch,a,685,8,1,5,1,0,1
616,1369,0.5,162,553,727,3856,18,4,18,Yes,2,single,medium,Dual,6.0,7.0,34474,Touch,n,805,1,2,2,1,1,1
617,1109,0.4,98,1391,1787,1524,15,10,7,Yes,3,single,high,Dual,1.0,9.0,39405,Touch,n,1061,1,3,2,1,1,1
618,843,0.1,166,981,1096,3673,12,1,20,No,3,penta,medium,Dual,0.0,6.0,16485,LCD,b,634,5,2,4,1,0,0
619,598,0.7,196,680,1173,3293,8,4,7,No,3,dual,high,Dual,7.0,10.0,21826,LCD,n,946,2,3,2,1,0,0
620,972,1.0,126,687,816,3035,12,7,19,Yes,3,quad,high,Dual,1.0,2.0,5856,LCD,g,823,4,3,3,1,1,0
621,1944,0.1,197,1060,1970,584,17,14,13,Yes,4,hexa,low,Single,5.0,18.0,36262,Touch,none,957,6,1,1,2,1,1
622,1225,0.6,138,217,1101,2675,12,11,15,No,4,hepta,low,Dual,0.0,1.0,2327,Touch,none,917,7,1,1,1,0,1
623,644,0.5,114,1140,1654,2382,9,0,19,Yes,4,single,medium,Dual,7.0,16.0,30300,LCD,a,839,1,2,5,1,1,0
624,1919,0.8,150,304,1191,1391,19,13,12,No,4,quad,medium,Single,5.0,6.0,48601,LCD,g,868,4,2,3,2,0,0
625,501,0.3,131,504,1089,2346,13,12,2,No,4,quad,high,Single,12.0,19.0,54445,LCD,a,794,4,3,5,2,0,0
626,1620,0.2,185,832,1033,606,6,0,18,Yes,4,triple,medium,Dual,0.0,3.0,30587,LCD,none,814,3,2,1,1,1,0
627,1227,0.2,130,935,1781,1324,7,3,12,Yes,2,triple,medium,Dual,0.0,3.0,34406,Touch,b,670,3,2,4,1,1,1
628,1359,0.5,107,446,901,1076,16,8,4,Yes,4,hexa,low,Dual,1.0,3.0,58650,Touch,n,827,6,1,2,1,1,1
629,1914,0.6,118,942,1701,643,17,1,8,No,3,octa,low,Single,1.0,2.0,36185,LCD,a,718,8,1,5,2,0,0
630,1645,0.7,123,897,1308,783,10,8,20,Yes,3,hepta,medium,Single,1.0,2.0,22006,LCD,none,712,7,2,1,2,1,0
631,1063,0.8,101,1208,1232,3809,17,16,5,Yes,4,penta,medium,Single,0.0,2.0,26577,LCD,b,1358,5,2,4,2,1,0
632,946,0.2,154,159,630,2104,7,4,16,No,4,octa,medium,Single,0.0,0.0,20145,Touch,none,986,8,2,1,2,0,1
633,1231,0.8,185,632,1184,1762,5,3,6,No,3,triple,medium,Dual,5.0,10.0,54886,Touch,none,689,3,2,1,1,0,1
634,1397,0.5,87,1308,1991,3137,12,1,11,No,3,hexa,high,Dual,13.0,18.0,9403,Touch,g,1353,6,3,3,1,0,1
635,701,0.5,160,1002,1256,1756,6,3,17,Yes,3,triple,low,Single,7.0,11.0,15604,Touch,a,914,3,1,5,2,1,1
636,570,0.3,111,1331,1917,3663,14,10,14,Yes,2,hepta,low,Dual,2.0,5.0,9717,LCD,none,1084,7,1,1,1,1,0
637,1993,0.3,147,150,510,2437,14,0,9,Yes,4,octa,low,Single,10.0,11.0,27408,LCD,none,1110,8,1,1,2,1,0
638,955,0.9,143,1248,1511,1432,12,9,9,No,3,penta,low,Dual,4.0,8.0,43641,Touch,n,795,5,1,2,1,0,1
639,924,0.3,167,108,1813,1620,17,15,12,No,4,octa,low,Dual,0.0,6.0,47690,LCD,none,748,8,1,1,1,0,0
640,600,0.8,112,320,747,1655,18,0,9,No,2,penta,low,Single,0.0,2.0,14092,LCD,none,621,5,1,1,2,0,0
641,518,0.1,178,437,1947,2832,5,0,8,No,3,hepta,low,Dual,0.0,1.0,3535,LCD,a,838,7,1,5,1,0,0
642,1063,0.9,95,295,935,961,16,6,5,Yes,4,hexa,high,Single,0.0,10.0,31423,Touch,none,664,6,3,1,2,1,1
643,920,0.8,149,1058,1421,2608,6,0,2,Yes,2,triple,low,Single,2.0,3.0,46479,LCD,g,699,3,1,3,2,1,0
644,1715,0.1,171,79,1652,514,7,4,13,No,4,penta,medium,Single,4.0,6.0,3376,LCD,none,760,5,2,1,2,0,0
645,1841,0.6,167,593,672,2304,7,1,18,Yes,2,octa,medium,Dual,6.0,8.0,14105,LCD,n,800,8,2,2,1,1,0
646,543,0.7,132,693,1031,933,14,0,5,Yes,4,penta,low,Dual,4.0,7.0,60648,Touch,none,665,5,1,1,1,1,1
647,1762,0.9,189,300,527,1896,14,10,20,Yes,4,single,high,Dual,13.0,14.0,25633,Touch,n,1075,1,3,2,1,1,1
648,1112,0.6,121,234,739,3655,7,3,20,Yes,3,quad,low,Dual,1.0,16.0,53611,Touch,none,1017,4,1,1,1,1,1
649,709,0.1,136,1545,1596,1973,12,9,16,Yes,2,single,medium,Dual,0.0,0.0,35442,Touch,a,821,1,2,5,1,1,1
650,1315,0.8,128,59,575,3278,6,3,13,Yes,2,hepta,high,Single,7.0,16.0,64244,LCD,none,770,7,3,1,2,1,0
651,1762,0.3,107,1103,1364,2183,8,3,11,Yes,4,octa,high,Single,10.0,11.0,15462,Touch,none,1175,8,3,1,2,1,1
652,1462,0.2,182,91,1478,824,15,5,13,Yes,3,hepta,medium,Dual,1.0,18.0,25075,LCD,a,748,7,2,5,1,1,0
653,571,0.2,186,177,1282,2598,13,5,8,No,3,hepta,medium,Dual,8.0,20.0,35556,Touch,none,762,7,2,1,1,0,1
654,666,0.4,81,58,1353,1254,15,9,9,Yes,4,triple,low,Dual,7.0,13.0,54374,Touch,b,586,3,1,4,1,1,1
655,1994,0.5,146,447,1435,3622,7,0,20,No,4,octa,medium,Dual,2.0,7.0,7425,LCD,a,1416,8,2,5,1,0,0
656,1583,0.7,148,942,1651,1704,17,13,2,Yes,3,hepta,medium,Dual,11.0,16.0,14324,LCD,b,806,7,2,4,1,1,0
657,1778,1.0,132,88,516,1624,15,13,9,No,4,quad,medium,Dual,3.0,17.0,45313,Touch,none,860,4,2,1,1,0,1
658,1926,0.2,179,371,1000,3809,17,12,17,Yes,4,hexa,medium,Single,13.0,17.0,50883,Touch,none,1365,6,2,1,2,1,1
659,966,0.2,117,1446,1754,2574,10,1,5,Yes,4,quad,low,Single,9.0,10.0,50209,LCD,g,1386,4,1,3,2,1,0
660,568,0.3,179,181,1703,950,17,9,9,No,3,triple,medium,Single,1.0,4.0,36125,LCD,none,587,3,2,1,2,0,0
661,1897,0.5,192,1311,1935,273,17,6,3,No,4,octa,high,Single,1.0,2.0,20975,Touch,b,848,8,3,4,2,0,1
662,1695,0.7,200,1791,1898,446,16,13,15,No,4,triple,low,Dual,6.0,9.0,47037,Touch,n,1020,3,1,2,1,0,1
663,1623,0.9,120,1568,1832,1510,12,10,17,Yes,4,hepta,medium,Single,6.0,12.0,61455,Touch,none,1047,7,2,1,2,1,1
664,914,0.7,147,706,721,1122,12,9,2,Yes,4,quad,low,Single,0.0,0.0,26628,Touch,n,813,4,1,2,2,1,1
665,1721,0.5,128,871,1048,707,19,2,5,Yes,4,quad,low,Dual,4.0,5.0,33621,Touch,n,834,4,1,2,1,1,1
666,890,0.5,198,1074,1873,751,7,3,3,Yes,2,octa,medium,Dual,4.0,13.0,44463,LCD,none,628,8,2,1,1,1,0
667,600,0.8,191,501,1465,3393,12,7,8,No,3,triple,low,Single,1.0,7.0,48321,LCD,none,1054,3,1,1,2,0,0
668,1677,0.7,124,271,1477,3771,15,6,12,No,3,hexa,medium,Dual,4.0,8.0,10887,LCD,none,889,6,2,1,1,0,0
669,723,0.2,168,920,1748,1851,15,3,16,No,4,quad,low,Single,0.0,3.0,3557,LCD,none,1047,4,1,1,2,0,0
670,638,0.5,102,1171,1383,2735,7,2,9,No,3,quad,medium,Dual,11.0,17.0,27979,Touch,none,1159,4,2,1,1,0,1
671,852,0.7,104,293,1159,2253,17,4,7,No,4,hepta,medium,Dual,4.0,13.0,62532,Touch,none,901,7,2,1,1,0,1
672,1979,0.2,165,833,1630,452,13,6,14,Yes,2,hepta,medium,Dual,0.0,1.0,32345,Touch,none,912,7,2,1,1,1,1
673,710,0.8,151,485,857,1419,12,11,18,Yes,2,penta,low,Single,6.0,9.0,32405,Touch,none,715,5,1,1,2,1,1
674,1034,0.3,190,182,1293,969,15,1,7,No,4,triple,high,Dual,2.0,4.0,45858,LCD,none,644,3,3,1,1,0,0
675,600,0.1,145,207,1162,3441,19,1,5,No,4,single,high,Dual,8.0,11.0,22663,LCD,none,863,1,3,1,1,0,0
676,1027,0.9,103,1698,1747,3786,17,12,12,No,4,dual,low,Single,2.0,7.0,64503,LCD,none,1397,2,1,1,2,0,0
677,1260,1.0,106,165,736,2710,13,1,8,No,4,hexa,low,Single,5.0,6.0,13404,Touch,none,994,6,1,1,2,0,1
678,1793,0.5,169,1086,1418,3533,16,14,15,No,3,hexa,medium,Dual,10.0,17.0,12234,Touch,n,1081,6,2,2,1,0,1
679,675,0.9,144,192,757,1735,7,0,13,No,3,penta,high,Single,10.0,15.0,60559,LCD,b,548,5,3,4,2,0,0
680,658,0.9,103,1156,1750,3587,14,11,20,Yes,4,hepta,high,Single,0.0,3.0,12451,LCD,none,913,7,3,1,2,1,0
681,1694,0.3,102,377,549,2298,17,5,2,Yes,4,hepta,low,Single,0.0,7.0,34162,Touch,none,1247,7,1,1,2,1,1
682,804,0.9,89,709,818,2027,11,5,11,Yes,4,single,low,Dual,12.0,13.0,41765,LCD,none,788,1,1,1,1,1,0
683,1713,0.9,127,729,974,2406,13,10,20,No,3,hepta,high,Dual,1.0,3.0,27701,LCD,g,1055,7,3,3,1,0,0
684,706,0.1,108,543,938,2419,8,7,4,No,4,triple,low,Single,13.0,19.0,31171,LCD,n,950,3,1,2,2,0,0
685,1362,0.8,131,553,1505,995,7,6,18,No,2,hepta,low,Single,3.0,9.0,25576,Touch,a,562,7,1,5,2,0,1
686,1527,0.1,154,526,1116,2078,5,3,11,No,4,penta,high,Single,10.0,14.0,60252,Touch,n,986,5,3,2,2,0,1
687,768,0.9,159,637,991,1145,19,1,7,No,2,dual,low,Dual,0.0,1.0,19073,LCD,b,537,2,1,4,1,0,0
688,1314,0.1,155,113,577,626,10,4,4,No,4,quad,high,Dual,8.0,12.0,41691,Touch,b,722,4,3,4,1,0,1
689,705,0.9,155,1114,1374,1509,15,11,18,Yes,4,hexa,low,Single,5.0,9.0,57725,Touch,b,752,6,1,4,2,1,1
690,1403,0.1,164,461,1251,3371,13,9,9,No,4,penta,high,Single,2.0,3.0,26707,LCD,n,1187,5,3,2,2,0,0
691,1486,0.1,85,1430,1747,297,13,1,15,No,2,quad,high,Single,7.0,15.0,52581,Touch,none,495,4,3,1,2,0,1
692,781,0.4,198,304,1674,3508,13,8,5,No,2,penta,medium,Single,2.0,7.0,38621,LCD,g,993,5,2,3,2,0,0
693,986,0.8,183,471,800,2385,16,9,19,Yes,4,octa,medium,Single,1.0,3.0,23438,LCD,none,1127,8,2,1,2,1,0
694,1310,0.4,105,806,1016,1301,13,12,19,No,2,single,medium,Single,0.0,14.0,33192,LCD,b,662,1,2,4,2,0,0
695,560,0.3,81,80,1327,2167,11,10,7,Yes,4,triple,medium,Dual,6.0,12.0,57222,LCD,b,651,3,2,4,1,1,0
696,1348,0.4,116,204,501,3914,10,3,8,No,3,penta,medium,Single,0.0,6.0,43345,LCD,a,1395,5,2,5,2,0,0
697,1567,0.5,119,545,1621,2312,9,1,18,No,3,hexa,low,Dual,3.0,6.0,22736,LCD,none,765,6,1,1,1,0,0
698,1940,0.7,93,112,858,2297,14,6,8,Yes,2,penta,low,Dual,4.0,7.0,17979,Touch,none,770,5,1,1,1,1,1
699,1979,1.0,176,1331,1532,411,8,2,2,Yes,4,triple,high,Dual,0.0,9.0,19618,Touch,n,1120,3,3,2,1,1,1
700,561,0.1,193,1055,1294,665,10,0,4,Yes,4,triple,medium,Dual,7.0,13.0,1954,Touch,none,638,3,2,1,1,1,1
701,1717,0.7,130,609,810,3226,6,4,5,Yes,2,single,medium,Single,1.0,3.0,62435,Touch,none,1000,1,2,1,2,1,1
702,535,0.7,113,290,811,740,11,10,18,No,4,single,medium,Single,1.0,4.0,48589,Touch,none,551,1,2,1,2,0,1
703,1413,0.1,185,1039,1318,3878,19,16,4,No,4,penta,low,Dual,4.0,12.0,39612,LCD,none,1067,5,1,1,1,0,0
704,1358,0.6,135,1485,1655,3406,5,1,11,No,2,hepta,high,Dual,0.0,0.0,20321,LCD,n,1017,7,3,2,1,0,0
705,1519,0.7,112,1122,1702,2440,9,5,10,No,3,hepta,high,Single,2.0,8.0,30334,Touch,g,947,7,3,3,2,0,1
706,1254,0.7,108,462,1013,3959,10,4,17,No,3,penta,medium,Dual,2.0,6.0,50423,Touch,none,1091,5,2,1,1,0,1
707,1591,0.4,154,1384,1883,3703,17,6,20,Yes,4,hexa,medium,Single,3.0,7.0,49785,Touch,none,1174,6,2,1,2,1,1
708,977,0.6,165,1502,1862,3714,19,3,10,Yes,2,dual,high,Dual,2.0,15.0,35786,Touch,g,757,2,3,3,1,1,1
709,1640,0.8,169,589,1301,337,16,3,5,Yes,4,hepta,low,Single,10.0,14.0,21223,Touch,none,786,7,1,1,2,1,1
710,663,0.6,183,82,1605,3176,6,2,2,No,3,dual,low,Dual,0.0,1.0,25661,LCD,b,631,2,1,4,1,0,0
711,1744,0.5,112,68,718,1205,18,7,14,Yes,4,octa,medium,Single,1.0,3.0,20148,LCD,none,975,8,2,1,2,1,0
712,1624,0.4,150,689,699,2473,16,11,2,No,3,dual,medium,Dual,8.0,10.0,28294,LCD,none,950,2,2,1,1,0,0
